Transaction_ID,Transaction_Date,Terminal_ID,Receipt_Number,Clerk,Sales_Total,Tax,Sales_Ex_Tax
,Regular_Pork_Meal,134,1,15.90,14.45,15.90,0.00
,600ML_Pepsi_Max,277,1,4.90,4.45,4.90,0.00
,EFTPOS,2,,20.80,,,
12383207,16052022_110931,212,14,ROB,40.80,3.71,37.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Roast_Beef_Wrap,1181,1,10.00,9.09,10.00,0.00
,Meaty_Beef_Sub,1321,1,14.40,13.09,14.40,0.00
,600ML_Lemonade,282,1,4.90,4.45,4.90,0.00
,600ML_Water,264,1,4.00,3.64,4.00,0.00
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,CASH,1,,50.00,,,
,CHANGE,9996,,9.20,,,
12383215,16052022_111103,212,15,RENSCHE,13.50,1.23,12.27
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Pork_Crackling_Cup,111,1,5.50,5.00,5.50,0.00
,Battered_Fish,545,1,8.00,7.27,8.00,0.00
,CASH,1,,20.00,,,
,CHANGE,9996,,6.50,,,
12383217,16052022_111211,211,17,RENSCHE,7.50,0.68,6.82
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Mini_Beef_Roll_&_Chip,847,1,7.50,6.82,7.50,0.00
,EFTPOS,2,,7.50,,,
12383224,16052022_111347,211,18,RENSCHE,18.90,1.72,17.18
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Beef_Meal,126,1,18.90,17.18,18.90,0.00
,EFTPOS,2,,18.90,,,
12383237,16052022_111718,212,16,RENSCHE,17.01,1.55,15.46
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Pork_Meal,135,1,17.01,15.46,18.90,1.89
,DISCOUNT,0,,1.89,,,
,EFTPOS,2,,17.01,,,
12383260,16052022_112412,212,17,RENSCHE,11.00,1.00,10.00
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Beef_Sub,71,1,11.00,10.00,11.00,0.00
,EFTPOS,2,,11.00,,,
12383267,16052022_112539,212,18,RENSCHE,14.31,1.30,13.01
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Beef_Meal,125,1,14.31,13.01,15.90,1.59
,DISCOUNT,0,,1.59,,,
,CASH,1,,14.30,,,
,CASH_ROUNDING,8010,,-0.01,,,
12383272,16052022_112614,212,19,RENSCHE,5.20,0.47,4.73
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,300ML_Orange_Juice,291,1,5.20,4.73,5.20,0.00
,CASH,1,,10.00,,,
,CHANGE,9996,,4.80,,,
12383299,16052022_113052,211,19,RENSCHE,13.50,1.23,12.27
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Battered_Fish_Meal,446,1,13.50,12.27,13.50,0.00
,CASH,1,,13.50,,,
12383306,16052022_113313,211,20,RENSCHE,24.10,2.19,21.91
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Beef_Meal,126,1,18.90,17.18,18.90,0.00
,300ML_Orange_Juice,291,1,5.20,4.73,5.20,0.00
,EFTPOS,2,,24.10,,,
12383326,16052022_113750,212,20,RENSCHE,28.71,2.60,26.11
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Battered_Fish_Meal,446,1,12.15,11.05,13.50,1.35
,Battered_Fish_Meal,446,1,12.15,11.05,13.50,1.35
,600ML_Solo,280,1,4.41,4.01,4.90,0.49
,DISCOUNT,0,,3.19,,,
,CASH,1,,50.00,,,
,CHANGE,9996,,21.30,,,
,CASH_ROUNDING,8010,,-0.01,,,
12383343,16052022_114058,211,21,RENSCHE,15.90,1.45,14.45
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Pork_Sub,77,1,11.00,10.00,11.00,0.00
,600ML_Pepsi,276,1,4.90,4.45,4.90,0.00
,EFTPOS,2,,15.90,,,
12383346,16052022_114235,212,21,ROB,19.90,1.81,18.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Beef_Meal,125,1,15.90,14.45,15.90,0.00
,600ML_Water,264,1,4.00,3.64,4.00,0.00
,CASH,1,,50.00,,,
,CHANGE,9996,,30.10,,,
12383359,16052022_114524,212,22,ROB,9.00,0.82,8.18
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chip_Meal,501,1,4.10,3.73,4.10,0.00
,600ML_Pepsi,276,1,4.90,4.45,4.90,0.00
,CASH,1,,9.00,,,
12383362,16052022_114548,212,23,ROB,-9.00,-0.82,-8.18
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chip_Meal,501,-1,-4.10,-3.73,-4.10,0.00
,600ML_Pepsi,276,-1,-4.90,-4.45,-4.90,0.00
,CASH,1,,-9.00,,,
12383375,16052022_114812,211,22,RENSCHE,22.00,2.00,20.00
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Reg_Beef_Sub,70,1,9.00,8.18,9.00,0.00
