Transaction ID,Transaction Date,Terminal ID,,,Receipt Number,Clerk,Sales Total,Tax,Sales Ex Tax
,600ML Pepsi Max,277,,,1,4.9,4.45,4.9,0
,EFTPOS,2,,,,20.8,,,
12383207,16/05/2022 11:09:31,212,,,14,ROB,40.8,3.71,37.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Roast Beef Wrap,1181,,,1,10,9.09,10,0
,Meaty Beef Sub,1321,,,1,14.4,13.09,14.4,0
,600ML Lemonade,282,,,1,4.9,4.45,4.9,0
,600ML Water,264,,,1,4,3.64,4,0
,Large Chips,12,,,1,7.5,6.82,7.5,0
,CASH,1,,,,50,,,
,CHANGE,9996,,,,9.2,,,
12383215,16/05/2022 11:11:03,212,,,15,RENSCHE,13.5,1.23,12.27
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Pork Crackling Cup,111,,,1,5.5,5,5.5,0
,Battered Fish,545,,,1,8,7.27,8,0
,CASH,1,,,,20,,,
,CHANGE,9996,,,,6.5,,,
12383217,16/05/2022 11:12:11,211,,,17,RENSCHE,7.5,0.68,6.82
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Mini Beef Roll & Chip,847,,,1,7.5,6.82,7.5,0
,EFTPOS,2,,,,7.5,,,
12383224,16/05/2022 11:13:47,211,,,18,RENSCHE,18.9,1.72,17.18
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Beef Meal,126,,,1,18.9,17.18,18.9,0
,EFTPOS,2,,,,18.9,,,
12383237,16/05/2022 11:17:18,212,,,16,RENSCHE,17.01,1.55,15.46
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Pork Meal,135,,,1,17.01,15.46,18.9,1.89
,DISCOUNT,0,,,,1.89,,,
,EFTPOS,2,,,,17.01,,,
12383260,16/05/2022 11:24:12,212,,,17,RENSCHE,11,1,10
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Beef Sub,71,,,1,11,10,11,0
,EFTPOS,2,,,,11,,,
12383267,16/05/2022 11:25:39,212,,,18,RENSCHE,14.31,1.3,13.01
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Beef Meal,125,,,1,14.31,13.01,15.9,1.59
,DISCOUNT,0,,,,1.59,,,
,CASH,1,,,,14.3,,,
,CASH ROUNDING,8010,,,,-0.01,,,
12383272,16/05/2022 11:26:14,212,,,19,RENSCHE,5.2,0.47,4.73
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,300ML Orange Juice,291,,,1,5.2,4.73,5.2,0
,CASH,1,,,,10,,,
,CHANGE,9996,,,,4.8,,,
12383299,16/05/2022 11:30:52,211,,,19,RENSCHE,13.5,1.23,12.27
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Battered Fish Meal,446,,,1,13.5,12.27,13.5,0
,CASH,1,,,,13.5,,,
12383306,16/05/2022 11:33:13,211,,,20,RENSCHE,24.1,2.19,21.91
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Beef Meal,126,,,1,18.9,17.18,18.9,0
,300ML Orange Juice,291,,,1,5.2,4.73,5.2,0
,EFTPOS,2,,,,24.1,,,
12383326,16/05/2022 11:37:50,212,,,20,RENSCHE,28.71,2.6,26.11
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Battered Fish Meal,446,,,1,12.15,11.05,13.5,1.35
,Battered Fish Meal,446,,,1,12.15,11.05,13.5,1.35
,600ML Solo,280,,,1,4.41,4.01,4.9,0.49
,DISCOUNT,0,,,,3.19,,,
,CASH,1,,,,50,,,
,CHANGE,9996,,,,21.3,,,
,CASH ROUNDING,8010,,,,-0.01,,,
12383343,16/05/2022 11:40:58,211,,,21,RENSCHE,15.9,1.45,14.45
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Pork Sub,77,,,1,11,10,11,0
,600ML Pepsi,276,,,1,4.9,4.45,4.9,0
,EFTPOS,2,,,,15.9,,,
12383346,16/05/2022 11:42:35,212,,,21,ROB,19.9,1.81,18.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Beef Meal,125,,,1,15.9,14.45,15.9,0
,600ML Water,264,,,1,4,3.64,4,0
,CASH,1,,,,50,,,
,CHANGE,9996,,,,30.1,,,
12383359,16/05/2022 11:45:24,212,,,22,ROB,9,0.82,8.18
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chip Meal,501,,,1,4.1,3.73,4.1,0
,600ML Pepsi,276,,,1,4.9,4.45,4.9,0
,CASH,1,,,,9,,,
12383362,16/05/2022 11:45:48,212,,,23,ROB,-9,-0.82,-8.18
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chip Meal,501,,,-1,-4.1,-3.73,-4.1,0
,600ML Pepsi,276,,,-1,-4.9,-4.45,-4.9,0
,CASH,1,,,,-9,,,
12383375,16/05/2022 11:48:12,211,,,22,RENSCHE,22,2,20
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Reg Beef Sub,70,,,1,9,8.18,9,0
,Large Chip Meal ,1136,,,1,9,8.18,9,0
,Large Chip Meal,501,,,1,0,0,0,0
,600ML Water,264,,,1,0,0,0,0
,600ML Water,264,,,1,4,3.64,4,0
,EFTPOS,2,,,,22,,,
12383379,16/05/2022 11:48:53,212,,,24,RENSCHE,8.1,0.74,7.36
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Reg Pork Sub,76,,,1,8.1,7.36,9,0.9
,DISCOUNT,0,,,,0.9,,,
,EFTPOS,2,,,,8.1,,,
12383389,16/05/2022 11:50:35,212,,,25,ROB,11.5,1.04,10.46
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,600ML Water,264,,,1,4,3.64,4,0
,EFTPOS,2,,,,11.5,,,
12383408,16/05/2022 11:55:04,211,,,23,RENSCHE,8.5,0.77,7.73
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,CASH,1,,,,8.5,,,
12383416,16/05/2022 11:56:37,211,,,24,RENSCHE,18.9,1.72,17.18
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,600ML Pepsi Max,277,,,1,4.9,4.45,4.9,0
,Regular Potato Bake,496,,,1,6.5,5.91,6.5,0
,CASH,1,,,,50,,,
,CHANGE,9996,,,,31.1,,,
12383430,16/05/2022 11:59:16,212,,,26,ROB,19.9,1.81,18.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Beef Meal,125,,,1,15.9,14.45,15.9,0
,600ML Water,264,,,1,4,3.64,4,0
,EFTPOS,2,,,,19.9,,,
12383432,16/05/2022 11:59:50,212,,,27,RENSCHE,24.4,2.22,22.18
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,PF Steak Toastie,1182,,,1,11,10,11,0
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,600ML Pepsi Max,277,,,1,4.9,4.45,4.9,0
,EFTPOS,2,,,,24.4,,,
12383440,16/05/2022 12:01:39,211,,,25,ROB,43.8,3.99,39.81
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Beef Meal,125,,,1,15.9,14.45,15.9,0
,600ML Pepsi,276,,,1,4.9,4.45,4.9,0
,Battered Fish Meal,446,,,1,13.5,12.27,13.5,0
,Bacon & Egg Roll,3,,,1,7.5,6.82,7.5,0
,BBQ Sauce,852,,,1,0,0,0,0
,Hash Brown,7,,,1,2,1.82,2,0
,EFTPOS,2,,,,43.8,,,
12383459,16/05/2022 12:04:24,212,,,28,RENSCHE,15.5,1.41,14.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Reg Beef Sub,70,,,1,9,8.18,9,0
,Regular Chips,11,,,1,5.5,5,5.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,CASH,1,,,,20,,,
,CHANGE,9996,,,,4.5,,,
12383463,16/05/2022 12:05:30,212,,,29,RENSCHE,8.5,0.77,7.73
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,EFTPOS,2,,,,8.5,,,
12383468,16/05/2022 12:06:19,212,,,30,ROB,12.5,1.13,11.37
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Mega Chips,13,,,1,10.5,9.55,10.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,Gravy PC,336,,,1,1,0.91,1,0
,EFTPOS,2,,,,12.5,,,
12383467,16/05/2022 12:06:29,211,,,26,RENSCHE,6.5,0.59,5.91
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Chips,11,,,1,5.5,5,5.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,EFTPOS,2,,,,6.5,,,
12383475,16/05/2022 12:08:54,211,,,27,RENSCHE,18.72,1.7,17.02
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Beef Meal,125,,,1,14.31,13.01,15.9,1.59
,600ML Pepsi,276,,,1,4.41,4.01,4.9,0.49
,DISCOUNT,0,,,,2.08,,,
,CASH,1,,,,20,,,
,CHANGE,9996,,,,1.3,,,
,CASH ROUNDING,8010,,,,-0.02,,,
12383483,16/05/2022 12:10:32,212,,,31,SAM,13.7,1.24,12.46
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,Lipton Iced Tea Peach,1109,,,1,5.2,4.73,5.2,0
,CASH,1,,,,15,,,
,CHANGE,9996,,,,1.3,,,
12383488,16/05/2022 12:12:03,212,,,32,RENSCHE,5.5,0.5,5
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Chips,11,,,1,5.5,5,5.5,0
,EFTPOS,2,,,,5.5,,,
12383490,16/05/2022 12:12:38,212,,,33,SAM,19.9,1.81,18.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Pork Meal,134,,,1,15.9,14.45,15.9,0
,600ML Water,264,,,1,4,3.64,4,0
,EFTPOS,2,,,,19.9,,,
12383512,16/05/2022 12:16:44,212,,,34,RENSCHE,26.91,2.44,24.47
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,6.75,6.14,7.5,0.75
